SUBJECT,ITEM,LEXICALITY,REPETITION,CASE,RT,ACCURACY
1,1,word,repeated,lowercase,535.38,1
1,2,word,repeated,lowercase,597.66,1
1,3,word,repeated,lowercase,496.13,1
1,4,word,repeated,lowercase,677.95,1
1,5,word,repeated,lowercase,479.12,1
1,6,word,repeated,lowercase,552.48,1
1,7,word,repeated,lowercase,505.1,1
1,8,word,repeated,lowercase,608.76,1
1,9,word,repeated,lowercase,682.31,1
1,10,word,repeated,lowercase,623.32,1
1,11,word,repeated,lowercase,551.26,1
1,12,word,repeated,lowercase,660.05,1
1,13,word,repeated,lowercase,646.97,1
1,14,word,repeated,lowercase,733,1
1,15,word,repeated,lowercase,608.88,1
1,16,word,repeated,lowercase,534.24,1
1,17,word,repeated,lowercase,603.86,1
1,18,word,repeated,lowercase,541.49,1
1,19,word,repeated,lowercase,778.5,1
1,20,word,repeated,lowercase,643.96,1
1,21,word,repeated,lowercase,559.26,1
1,22,word,repeated,lowercase,732.63,1
1,23,word,repeated,lowercase,619.63,1
1,24,word,repeated,lowercase,537.93,1
1,25,word,repeated,lowercase,719.38,1
1,26,word,repeated,lowercase,640.88,1
1,27,word,repeated,lowercase,811.92,1
1,28,word,repeated,lowercase,491.64,1
1,29,word,repeated,lowercase,619.31,1
1,30,word,repeated,lowercase,708.34,1
1,31,word,repeated,alternating,604.08,1
1,32,word,repeated,alternating,551.01,1
1,33,word,repeated,alternating,635.32,1
1,34,word,repeated,alternating,692.65,1
1,35,word,repeated,alternating,715.03,1
1,36,word,repeated,alternating,696.8,1
1,37,word,repeated,alternating,683.97,1
1,38,word,repeated,alternating,759.73,1
1,39,word,repeated,alternating,526.55,1
1,40,word,repeated,alternating,611,1
1,41,word,repeated,alternating,561.03,1
1,42,word,repeated,alternating,653.24,1
1,43,word,repeated,alternating,629.46,1
1,44,word,repeated,alternating,662.94,1
1,45,word,repeated,alternating,659.9,1
1,46,word,repeated,alternating,982.12,1
1,47,word,repeated,alternating,627.59,1
1,48,word,repeated,alternating,550.89,1
1,49,word,repeated,alternating,475.48,1
1,50,word,repeated,alternating,868.07,1
1,51,word,repeated,alternating,528.7,1
1,52,word,repeated,alternating,544.62,1
1,53,word,repeated,alternating,588.56,1
1,54,word,repeated,alternating,724.22,1
1,55,word,repeated,alternating,688.21,1
1,56,word,repeated,alternating,863.7,1
1,57,word,repeated,alternating,495.65,1
1,58,word,repeated,alternating,553.18,1
1,59,word,repeated,alternating,581.28,1
1,60,word,repeated,alternating,523.8,1
1,61,word,unrelated,lowercase,NA,0
1,62,word,unrelated,lowercase,594.89,1
1,63,word,unrelated,lowercase,630.37,1
1,64,word,unrelated,lowercase,702.79,1
1,65,word,unrelated,lowercase,697.45,1
1,66,word,unrelated,lowercase,703.92,1
1,67,word,unrelated,lowercase,799.08,1
1,68,word,unrelated,lowercase,587.32,1
1,69,word,unrelated,lowercase,713.59,1
1,70,word,unrelated,lowercase,625.55,1
1,71,word,unrelated,lowercase,604.6,1
1,72,word,unrelated,lowercase,720,1
1,73,word,unrelated,lowercase,596.42,1
1,74,word,unrelated,lowercase,699.6,1
1,75,word,unrelated,lowercase,590.81,1
1,76,word,unrelated,lowercase,682.04,1
1,77,word,unrelated,lowercase,751.67,1
1,78,word,unrelated,lowercase,798.43,1
1,79,word,unrelated,lowercase,582.1,1
1,80,word,unrelated,lowercase,715.77,1
1,81,word,unrelated,lowercase,595.63,1
1,82,word,unrelated,lowercase,721.19,1
1,83,word,unrelated,lowercase,867.07,1
1,84,word,unrelated,lowercase,613.78,1
1,85,word,unrelated,lowercase,668.62,1
1,86,word,unrelated,lowercase,742.4,1
1,87,word,unrelated,lowercase,732.14,1
1,88,word,unrelated,lowercase,735.39,1
1,89,word,unrelated,lowercase,545.49,1
1,90,word,unrelated,lowercase,548.3,1
1,91,word,unrelated,alternating,624.09,1
1,92,word,unrelated,alternating,628.14,1
1,93,word,unrelated,alternating,567.33,1
